target_id	length	eff_length	est_counts	tpm
YHR055C	186	19.0638	29	962.639
YPR161C	1974	1795	70	24.6779
YOL138C	4026	3847	54	8.88273
YDR395W	2835	2656	100	23.8258
YGR129W	648	469	17	22.9378
YPR165W	630	451	334	468.646
YPR098C	486	307	45	92.7575
YPL015C	1074	895	88	62.2207
YCL050C	966	787	233	187.351
YAL069W	315	136	0	0
YMR193W	777	598	27	28.5718
YLR031W	561	382	5	8.28288
YIL014C-A	315	136	3	13.9591
YGR053C	852	673	15	14.1043
YCR101C	549	370	3	5.13091
YER087C-B	249	70.019	32	289.207
YOR280C	801	622	34	34.591
YGR097W	3441	3262	263	51.0207
YHR215W	1404	1225	368.408	190.313
YKL025C	2040	1861	95	32.3037
YKR011C	1062	883	74	53.033
YEL004W	1029	850	21	15.6342
YJL200C	2370	2191	82	23.6835
YLL027W	753	574	97	106.939
YOR024W	324	145	0	0
YLR045C	2667	2488	70	17.8042
YDR348C	1500	1321	168	80.4788
YPL183C	3042	2863	42	9.28331
YGR003W	2235	2056	15	4.61682
YEL008C-A	93	4.74468	0	0
YBL095W	813	634	42.7281	42.6481
YGL060W	1926	1747	40	14.4891
YLL007C	1998	1819	23	8.00148
YEL009C	846	667	881	835.844
YEL015W	1656	1477	153	65.552
YOR083W	888	709	19	16.9583
YBR252W	444	265	48	114.623
YDR329C	1326	1147	87	47.9988
YDL202W	750	571	35	38.7888
YHR209W	876	697	96	87.1592
YPR008W	2085	1906	129	42.8294
YER075C	2787	2608	24	5.82343
YDL203C	1872	1693	40	14.9513
YBR050C	1017	838	28.636	21.6244
YMR197C	654	475	86	114.572
YDR261W-A	1317	1138	6.8112	3.78753
YBL049W	417	238	9	23.9299
YER054C	1647	1468	66	28.4507
YDR305C	654	475	24	31.9737
YHL019W-A	594	415	36.7608	56.0547
YNL201C	2577	2398	39	10.2918
YHR180W-A	183	17.7996	0	0
YCR061W	1896	1717	55	20.2706
YBR206W	324	145	19.771	86.2852
YPL171C	1203	1024	6	3.70788
YHR051W	447	268	63	148.758
YDL116W	2181	2002	60	18.9654
YPR124W	1221	1042	337.582	205.016
YJL023C	1044	865	25.7569	18.8431
YGL167C	2853	2674	233.243	55.1979
YDL165W	576	397	28	44.6316
YLR154C-H	132	7.19434	0	0
YPL119C-A	264	85.0011	2	14.8895
YIL143C	2532	2353	78	20.9772
YBR292C	372	193	0	0
YGR240C	2964	2785	1100	249.944
YOR094W	552	373	18	30.5379
YDR167W	621	442	70	100.219
YBR063C	1215	1036	19	11.6056
YER052C	1584	1405	208	93.6833
YGR178C	2169	1990	244	77.5911
YPL118W	1035	856	110	81.3193
YPR187W	468	289	117	256.19
YJL065C	504	325	18.0556	35.1562
YOL141W	2088	1909	0	0
YPR086W	1038	859	100	73.6685
YBR122C	534	355	41	73.0854
YBR271W	1260	1081	24	14.0495
YBR279W	1338	1159	99	54.0539
YHR095W	495	316	1	2.00257
YMR221C	1515	1336	69	32.6827
YDR241W	288	109	1	5.80562
YJL221C	1770	1591	15.0116	5.97078
YER130C	1332	1153	75	41.163
YBR155W	1158	979	63	40.7223
YDR363W	1371	1192	31	16.4574
YGR266W	2106	1927	79	25.943
YLR443W	1347	1168	54.4746	29.5139
YPL147W	2613	2434	29	7.53967
YAL034C	1242	1063	53	31.5513
YBR067C	633	454	631	879.526
YCR095C	1089	910	30	20.8619
YLR270W	1053	874	88	63.7157
YPR084W	1371	1192	32	16.9883
YBR184W	1572	1393	0	0
YMR113W	1284	1105	49	28.0614
YGR035C	351	172	40	147.166
YDL222C	930	751	6	5.05576
YCL008C	1158	979	75	48.479
YEL065W	1887	1708	102	37.7909
YNL335W	678	499	10	12.6816
YMR296C	1677	1498	250	105.61
YDR232W	1647	1468	178	76.7307
YGR190C	366	187	3.70464	12.5366
YHR116W	456	277	14	31.9833
YDR313C	861	682	30	27.8363
YFR018C	1092	913	89	61.6871
YKL007W	807	628	155	156.188
YIL048W	3456	3277	110	21.2418
YDL213C	678	499	98	124.28
YDR443C	4263	4084	46.9171	7.26977
YNL292W	1212	1033	60	36.7558
YKL183C-A	213	36.0583	0	0
YOR324C	1809	1630	52	20.1879
YNL134C	1131	952	206	136.932
YKL100C	1764	1585	216	86.2381
YOR192C-B	5313	5134	147.867	18.2259
YPL021W	564	385	0	0
YIL146C	1590	1411	11	4.93334
YLR299C-A	93	4.74468	0	0
YNL218W	1764	1585	25	9.98127
YIL121W	1629	1450	160	69.8276
YNL228W	777	598	18.575	19.6563
YDL167C	2160	1981	29	9.26378
YPL214C	1623	1444	55	24.103
YOR228C	909	730	33	28.6066
YBR270C	1638	1459	22	9.54206
YGR222W	882	703	29	26.1046
YEL063C	1773	1594	94	37.3177
YAL068W-A	255	76.0064	0	0
YML020W	1995	1816	46	16.0294
YGR121C	1479	1300	50	24.3389
YBR222C	1632	1453	148	64.4571
YDL095W	2454	2275	238.432	66.322
YDL003W	1701	1522	34	14.1364
YOR323C	1371	1192	218	115.732
YMR183C	888	709	98	87.4691
YOR274W	1287	1108	34	19.4184
YER146W	282	103	43.5282	267.429
YML075C	3165	2986	175	37.0871
