target_id	length	eff_length	est_counts	tpm
YHR055C	186	19.0638	50	1063.03
YPR161C	1974	1795	113	25.5153
YOL138C	4026	3847	131	13.8018
YDR395W	2835	2656	105	16.0231
YGR129W	648	469	20	17.284
YPR165W	630	451	606	544.606
YPR098C	486	307	93	122.781
YPL015C	1074	895	242	109.592
YCL050C	966	787	389	200.337
YAL069W	315	136	3	8.94064
YMR193W	777	598	41	27.7887
YLR031W	561	382	7	7.42713
YIL014C-A	315	136	14	41.723
YGR053C	852	673	28	16.8628
YCR101C	549	370	4	4.38172
YER087C-B	249	70.019	76	439.93
YOR280C	801	622	51	33.2327
YGR097W	3441	3262	556	69.084
YHR215W	1404	1225	27.6926	9.16251
YKL025C	2040	1861	133	28.9662
YKR011C	1062	883	142	65.1799
YEL004W	1029	850	31	14.7819
YJL200C	2370	2191	80	14.7991
YLL027W	753	574	215	151.814
YOR024W	324	145	0	0
YLR045C	2667	2488	142	23.1326
YDR348C	1500	1321	354	108.614
YPL183C	3042	2863	56	7.92781
YGR003W	2235	2056	35	6.89972
YEL008C-A	93	4.74468	0	0
YBL095W	813	634	88.4567	56.5494
YGL060W	1926	1747	56	12.9922
YLL007C	1998	1819	37	8.24433
YEL009C	846	667	1298	788.742
YEL015W	1656	1477	204	55.9804
YOR083W	888	709	27	15.4349
YBR252W	444	265	93	142.241
YDR329C	1326	1147	216	76.3267
YDL202W	750	571	63	44.7189
YHR209W	876	697	76	44.1944
YPR008W	2085	1906	376	79.956
YER075C	2787	2608	44	6.83804
YDL203C	1872	1693	68	16.2794
YBR050C	1017	838	36.695	17.748
YMR197C	654	475	192	163.83
YDR261W-A	1317	1138	30.0139	10.6897
YBL049W	417	238	22	37.4655
YER054C	1647	1468	97	26.7813
YDR305C	654	475	62	52.9035
YHL019W-A	594	415	75.5256	73.762
YNL201C	2577	2398	65	10.9863
YHR180W-A	183	17.7996	0	0
YCR061W	1896	1717	122	28.7989
YBR206W	324	145	70.2355	196.325
YPL171C	1203	1024	27	10.6869
YHR051W	447	268	111	167.871
YDL116W	2181	2002	116	23.4844
YPR124W	1221	1042	281.487	109.491
YJL023C	1044	865	42.8483	20.0772
YGL167C	2853	2674	471.167	71.4166
YDL165W	576	397	46	46.9628
YLR154C-H	132	7.19434	0	0
YPL119C-A	264	85.0011	3	14.3048
YIL143C	2532	2353	168	28.9383
YBR292C	372	193	1	2.10005
YGR240C	2964	2785	1839	267.635
YOR094W	552	373	25	27.1655
YDR167W	621	442	111	101.786
YBR063C	1215	1036	32	12.5192
YER052C	1584	1405	253	72.9845
YGR178C	2169	1990	535	108.965
YPL118W	1035	856	159	75.2852
YPR187W	468	289	189	265.064
YJL065C	504	325	60.1852	75.0572
YOL141W	2088	1909	3	0.636945
YPR086W	1038	859	191	90.1211
YBR122C	534	355	61	69.6447
YBR271W	1260	1081	31	11.6231
YBR279W	1338	1159	177	61.8979
YHR095W	495	316	5	6.41312
YMR221C	1515	1336	123	37.3151
YDR241W	288	109	0	0
YJL221C	1770	1591	36.528	9.30556
YER130C	1332	1153	97	34.098
YBR155W	1158	979	69	28.5662
YDR363W	1371	1192	65	22.1016
YGR266W	2106	1927	201	42.2767
YLR443W	1347	1168	138.17	47.9466
YPL147W	2613	2434	89	14.8203
YAL034C	1242	1063	106	40.4165
YBR067C	633	454	170	151.768
YCR095C	1089	910	55	24.4967
YLR270W	1053	874	174	80.6908
YPR084W	1371	1192	63	21.4215
YBR184W	1572	1393	5	1.45481
YMR113W	1284	1105	67	24.5753
YGR035C	351	172	14	32.9903
YDL222C	930	751	21	11.3335
YCL008C	1158	979	152	62.9285
YEL065W	1887	1708	78	18.5094
YNL335W	678	499	13	10.5592
YMR296C	1677	1498	505	136.636
YDR232W	1647	1468	262	72.3372
YGR190C	366	187	10.4701	22.6933
YHR116W	456	277	26	38.0435
YDR313C	861	682	43	25.5547
YFR018C	1092	913	238	105.656
YKL007W	807	628	248	160.058
YIL048W	3456	3277	190	23.4998
YDL213C	678	499	215	174.632
YDR443C	4263	4084	98.0335	9.72916
YNL292W	1212	1033	67	26.2882
YKL183C-A	213	36.0583	0	0
YOR324C	1809	1630	105	26.1089
YNL134C	1131	952	170	72.3766
YKL100C	1764	1585	397	101.519
YOR192C-B	5313	5134	137.087	10.8225
YPL021W	564	385	0	0
YIL146C	1590	1411	45	12.9262
YLR299C-A	93	4.74468	0	0
YNL218W	1764	1585	50	12.7858
YIL121W	1629	1450	42	11.74
YNL228W	777	598	38.5446	26.1245
YDL167C	2160	1981	31	6.34254
YPL214C	1623	1444	116	32.5595
YOR228C	909	730	53	29.4265
YBR270C	1638	1459	45	12.501
YGR222W	882	703	64	36.8987
YEL063C	1773	1594	201	51.1086
YAL068W-A	255	76.0064	0	0
YML020W	1995	1816	96	21.426
YGR121C	1479	1300	140	43.6487
YBR222C	1632	1453	328	91.4944
YDL095W	2454	2275	439.451	78.2916
YDL003W	1701	1522	84	22.3692
YOR323C	1371	1192	348	118.328
YMR183C	888	709	271	154.921
YOR274W	1287	1108	65	23.7772
YER146W	282	103	116.942	460.171
YML075C	3165	2986	197	26.7401
YOL035C	303	124	32.9663	107.754
YPL063W	1431	1252	308	99.7086
YDR457W	9807	9628	298	12.5449
YLR273C	1947	1768	63	14.4426
YDR181C	1446	1267	91	29.1106
YLR434C	384	205	1	1.97712
YGL097W	1449	1270	237	75.6364
YCL056C	435	256	47	74.4122
YJL083W	1815	1636	73	18.0853
YMR242W-A	90	4.62459	0	0
YOR026W	1026	847	54	25.8402
YPL140C	1521	1342	74	22.3494
YNR016C	6702	6523	1162	72.2013
YER123W	1575	1396	103	29.9046
YGR055W	1725	1546	216	56.6279
YKR054C	12279	12100	125	4.18708
YMR315W	1050	871	393	182.878
YAL024C	4308	4129	62	6.08602
YKL202W	582	403	11.2718	11.3364
YKL187C	2253	2074	89	17.3927
YDR383C	717	538	53	39.9282
YDR396W	501	322	44.762	56.343
YGR115C	780	601	0	0
YKL055C	837	658	4	2.46388
YDR035W	1113	934	486	210.9
YBL062W	381	202	18.8756	37.8734
YHR160C	852	673	15	9.03363
YGR047C	3078	2899	78	10.9052
YDR119W	2307	2128	115	21.9035
YBR208C	5508	5329	201	15.2875
YER151C	2739	2560	155	24.5402
YLR070C	1071	892	65	29.5349
YPR019W	2802	2623	204	31.5223
YPL228W	1650	1471	123	33.8906
YPR190C	1965	1786	84	19.0627
YGR041W	1644	1465	95	26.2828
YDR353W	960	781	1013	525.708
YHR097C	1101	922	274	120.45
YPL047W	300	121	12	40.1959
YPL014W	1146	967	109	45.6863
YGR007W	972	793	207	105.799
YML116W	1629	1450	58	16.2124
YOL137W	1494	1315	57	17.5685
YGL155W	1131	952	64	27.2477
YER061C	1329	1150	68	23.9661
YKL214C	612	433	65	60.8432
YPL119C	1854	1675	58	14.0346
YDL125C	477	298	507	689.569
YHR186C	4674	4495	132	11.9023
YKL011C	1062	883	39	17.9015
YLL019C	2214	2035	226	45.0122
YNL257C	3690	3511	94	10.8513
YGL199C	471	292	40.1609	55.7451
YJR092W	4344	4165	132	12.8453
YDR010C	333	154	12	31.5825
YBL059W	582	403	32	32.1834
YBR291C	900	721	48	26.9831
YPL189C-A	207	31.3862	18	232.445
YDR262W	819	640	140	88.6614
YFL012W	447	268	2	3.02469
YLR078C	735	556	119	86.7478
YDR072C	1584	1405	299	86.2544
YDR179C	489	310	11	14.3819
YKL153W	510	331	3974.81	4867.15
YOR108C-A	210	33.6633	5.33187	64.1962
YGR220C	810	631	94.0619	60.4186
YIL053W	753	574	4067	2871.76
YMR161W	675	496	83	67.8239
YER011W	765	586	36	24.8995
YDR258C	2436	2257	178	31.965
YDR467C	327	148	9.98276	27.3385
YGL162W	900	721	51	28.6696
YNL243W	2907	2728	569	84.5384
YBR234C	1155	976	480	199.332
YNL047C	1971	1792	85	19.225
YKL038W	3513	3334	208	25.2862
YFL053W	1776	1597	12	3.04553
YOR200W	399	220	27.6254	50.8947
YKR060W	825	646	15	9.4112
YPR200C	393	214	4	7.57587
