target_id	length	eff_length	est_counts	tpm
YHR055C	187	19.5103	33	297.367
YPR161C	1975	1796	573	56.0906
YOL138C	4027	3848	264.358	12.0781
YDR395W	2836	2657	1273	84.2324
YGR129W	649	470	59	22.0697
YPR165W	631	452	1323	514.593
YPR098C	583	404	199	86.5992
YPL015C	1075	896	522	102.425
YCL050C	967	788	1192	265.945
YAL069W	316	137	1	1.28328
YMR193W	778	599	289	84.8229
YGR053C	853	674	40	10.4338
YER087C-B	250	71.016	136	336.686
YOR280C	802	623	224	63.2124
YGR097W	3442	3263	548	29.5261
YKL025C	2041	1862	450	42.4888
YKR011C	1063	884	358	71.1988
YEL004W	1030	851	194	40.0788
YJL200C	2371	2192	831	66.6504
YLL027W	754	575	317	96.9245
YLR045C	2668	2489	455	32.1387
YOR024W	325	146	0	0
YDR348C	1501	1322	659	87.6387
YPL183C	3043	2864	1113	68.3226
YGR003W	2236	2057	429	36.6661
YBL095W	814	635	259	71.7081
YGL060W	1927	1748	346	34.7998
YLL007C	1999	1820	181	17.4843
YEL009C	847	668	5706	1501.75
YOR083W	889	710	141	34.9143
YEL015W	1657	1478	861	102.417
YDR329C	1327	1148	398	60.9513
YBR252W	445	266	192	126.9
YDL202W	751	572	212	65.1601
YHR209W	877	698	310	78.0815
YER075C	2788	2609	205	13.8141
YDL203C	1873	1694	329	34.1448
YBR050C	1018	839	43	9.01049
YMR197C	655	476	276	101.94
YBL049W	418	239	51	37.5158
YER054C	1648	1469	70	8.37757
YDR305C	744	565	156	48.5421
YNL201C	2578	2399	456	33.4177
YCR061W	1897	1718	73	7.47036
YHR051W	448	269	314	205.22
YPL171C	1204	1025	13	2.22978
YDL116W	2182	2003	744	65.3031
YPR124W	1222	1043	1985	334.594
YGL167C	2854	2675	837	55.0103
YJL023C	1045	866	192	38.9785
YDL165W	577	398	243	107.341
YIL143C	2533	2354	561	41.8985
YGR240C	2965	2786	2200	138.83
YOR094W	553	374	209	98.2464
YDR167W	622	443	189	75.0067
YBR063C	1216	1037	198	33.5682
YER052C	1585	1406	1229	153.677
YPR187W	545	366	538	258.43
YPL118W	1036	857	492	100.931
YGR178C	2170	1991	1062	93.7768
YPR086W	1039	860	495	101.193
YOL141W	2089	1910	75	6.90351
YJL065C	505	326	160	86.2868
YBR122C	535	356	317	156.549
YBR279W	1339	1160	445	67.4441
YBR271W	1261	1082	304	49.3956
YER130C	1333	1154	811	123.554
YBR155W	1159	980	267	47.8991
YDR363W	1372	1193	216	31.8314
YPL147W	2614	2435	219	15.812
