target_id	length	eff_length	est_counts	tpm
YHR055C	187	19.5103	2	110.759
YPR161C	1975	1796	44	26.4704
YOL138C	4027	3848	20	5.61577
YDR395W	2836	2657	261	106.136
YGR129W	649	470	3	6.89664
YPR165W	631	452	142	339.441
YPR098C	583	404	31	82.9076
YPL015C	1075	896	27	32.5589
YCL050C	967	788	229	313.995
YAL069W	316	137	0	0
YMR193W	778	599	29	52.3101
YGR053C	853	674	3	4.80923
YER087C-B	250	71.016	24	365.148
YOR280C	802	623	15	26.0146
YGR097W	3442	3263	56	18.5432
YKL025C	2041	1862	46	26.6927
YKR011C	1063	884	29	35.4454
YEL004W	1030	851	4	5.07861
YJL200C	2371	2192	101	49.7846
YLL027W	754	575	27	50.7353
YLR045C	2668	2489	64	27.7824
YOR024W	325	146	0	0
YDR348C	1501	1322	40	32.6921
YPL183C	3043	2864	56	21.1266
YGR003W	2236	2057	14	7.35373
YBL095W	814	635	2	3.40307
YGL060W	1927	1748	23	14.2168
YLL007C	1999	1820	15	8.905
YEL009C	847	668	30	48.5243
YOR083W	889	710	5	7.60897
YEL015W	1657	1478	45	32.8967
YDR329C	1327	1148	23	21.6471
YBR252W	445	266	41	166.539
YDL202W	751	572	28	52.8903
YHR209W	877	698	19	29.4112
YER075C	2788	2609	14	5.79786
YDL203C	1873	1694	22	14.0321
YBR050C	1018	839	1	1.28781
YMR197C	655	476	20	45.398
YBL049W	418	239	1	4.52081
YER054C	1648	1469	2	1.47103
YDR305C	744	565	8	15.2987
YNL201C	2578	2399	29	13.0612
YCR061W	1897	1718	101	63.5203
YHR051W	448	269	49	196.815
YPL171C	1204	1025	0	0
YDL116W	2182	2003	65	35.0628
YPR124W	1222	1043	238	246.551
YGL167C	2854	2675	168	67.8578
YJL023C	1045	866	9	11.2289
YDL165W	577	398	29	78.728
YIL143C	2533	2354	38	17.4418
YGR240C	2965	2786	1875	727.167
YOR094W	553	374	18	52.0014
YDR167W	622	443	15	36.5849
YBR063C	1216	1037	0	0
YER052C	1585	1406	215	165.222
YPR187W	545	366	48	141.701
YPL118W	1036	857	42	52.952
YGR178C	2170	1991	137	74.347
YPR086W	1039	860	45	56.5364
YOL141W	2089	1910	9	5.09124
YJL065C	505	326	15	49.715
YBR122C	535	356	29	88.0161
YBR279W	1339	1160	40	37.2577
YBR271W	1261	1082	14	13.9802
YER130C	1333	1154	19	17.7894
YBR155W	1159	980	23	25.358
YDR363W	1372	1193	13	11.7738
YPL147W	2614	2435	3	1.33118
YLR443W	1348	1169	15	13.8641
YGR266W	2107	1928	71	39.7892
YBR067C	634	455	229	543.799
YAL034C	1243	1064	4	4.06193
YLR270W	1054	875	48	59.2717
YCR095C	1090	911	15	17.7905
YPR084W	1372	1193	10	9.05678
YMR113W	1285	1106	21	20.5153
YBR184W	1573	1394	4	3.10035
YGR035C	352	173	6	37.4731
YCL008C	1159	980	23	25.358
YDL222C	931	752	3	4.3104
YEL065W	1888	1709	94	59.4292
YMR296C	1678	1499	187	134.789
YNL335W	679	500	0	0
YDR232W	1648	1469	105	77.2292
YGR190C	367	188	8.6374	49.6409
YHR116W	457	278	4	15.5464
YDR313C	862	683	7	11.0737
YFR018C	1093	914	13	15.3678
YKL007W	808	629	76	130.55
YIL048W	3457	3278	52	17.1399
YDL213C	679	500	20	43.2189
YDR443C	4264	4085	21	5.55445
YNL292W	1213	1034	45	47.0225
YOR324C	1810	1631	9	5.96215
YNL134C	1132	953	292	331.058
YKL100C	1765	1586	72	49.0505
YPL021W	565	386	0	0
YIL146C	1591	1412	2	1.53042
YNL218W	1765	1586	11	7.49383
YIL121W	1630	1451	36	26.8071
YDL167C	2161	1982	39	21.2606
YPL214C	1624	1445	5	3.73866
YOR228C	910	731	10	14.7808
YBR270C	1639	1460	0	0
YGR222W	883	704	4	6.13905
YML020W	1996	1817	15	8.9197
YGR121C	1480	1301	2	1.66099
YBR222C	1633	1454	91	67.6225
YDL003W	1702	1523	54	38.3096
YOR323C	1372	1193	229	207.4
YMR183C	889	710	87	132.396
YOR274W	1288	1109	16	15.5884
YER146W	283	104	27	280.507
YML075C	3166	2987	83	30.0232
YPL063W	1432	1253	144	124.173
YLR273C	1948	1769	3	1.83235
YDR457W	9808	9629	228	25.584
YLR434C	385	206	0	0
YDR181C	1447	1268	12	10.2253
YGL097W	1450	1271	93	79.059
YCL056C	436	257	1	4.20418
YMR242W-A	91	4.6639	0	0
YJL083W	1816	1637	3	1.9801
YPL140C	1522	1343	13	10.4588
YOR026W	1027	848	6	7.64486
YNR016C	6703	6524	1827	302.579
YER123W	1576	1397	33	25.523
YGR055W	1726	1547	251	175.306
YKR054C	12280	12101	37	3.30365
YMR315W	1051	872	117	144.972
YAL024C	4309	4130	10	2.61616
YKL187C	2254	2075	1	0.52071
YDR383C	718	539	10	20.0459
YKL055C	838	659	2	3.27913
YDR035W	1114	935	149	172.182
YHR160C	853	674	0	0
YGR047C	3079	2900	26	9.687
YDR119W	2308	2129	109	55.3178
YBR208C	5509	5330	28	5.67603
YER151C	2740	2561	82	34.5954
YLR070C	1072	893	0	0
YPR019W	2803	2624	39	16.0589
YPL228W	1651	1472	35	25.6906
YPR190C	1966	1787	39	23.5806
YGR041W	1645	1466	10	7.37021
YHR097C	1226	1047	12	12.3836
YDR353W	961	782	385	531.947
YPL047W	301	122	6	53.138
YPL014W	1147	968	18	20.0914
YGR007W	973	794	21	28.5768
YML116W	1630	1451	22	16.3821
YOL137W	1495	1316	25	20.5257
YGL155W	1132	953	16	18.1402
YKL214C	613	434	13	32.3644
YER061C	1330	1151	13	12.2034
YPL119C	1855	1676	1	0.644674
YDL125C	589	410	122	321.507
YHR186C	4675	4496	44	10.574
YKL011C	1063	884	12	14.6671
YLL019C	2215	2036	24	12.7364
YNL257C	3691	3512	29	8.9219
YJR092W	4345	4166	97	25.1574
YPL189C-A	208	32.1317	7	235.385
YBR291C	901	722	3	4.4895
YBL059W	652	473	9	20.5587
YLR078C	825	646	26	43.4865
YFL012W	448	269	0	0
YDR262W	820	641	27	45.5114
YDR072C	1585	1406	77	59.1724
YDR179C	490	311	5	17.371
YGR220C	811	632	37	63.2556
YIL053W	754	575	1474	2769.77
YMR161W	676	497	34	73.9157
YGL162W	901	722	4	5.986
YNL243W	2908	2729	161	63.7436
YBR234C	1156	977	130	143.768
YNL047C	1972	1793	13	7.83388
YKL038W	3514	3335	17	5.50766
YFL053W	1777	1598	0	0
YKR060W	826	647	17	28.3896
YPR200C	394	215	0	0
YLR411W	727	548	0	0
YHR150W	1741	1562	3	2.07517
YLR318W	2656	2477	6	2.61721
YGL219C	1381	1202	18	16.1801
YBR045C	1921	1742	3	1.86075
YMR039C	880	701	30	46.2399
YKL195W	1213	1034	86	89.8653
YPR127W	1039	860	17	21.3582
YPL188W	1246	1067	36	36.4546
YDR217C	3931	3752	15	4.31959
YML015C	1042	863	15	18.78
YJR126C	2437	2258	35	16.7478
YHR073W	2992	2813	44	16.9004
YPR026W	3637	3458	7	2.18719
YMR274C	949	770	28	39.2899
YMR008C	1996	1817	67.1605	39.9368
YDL227C	1762	1583	1	0.682548
YOR197W	1300	1121	103	99.2763
YNL081C	433	254	18	76.569
YKL096W-A	280	101	1196	12794.5
YDR532C	1159	980	9	9.92271
YDR049W	1900	1721	22	13.812
YKL170W	418	239	23	103.979
YGL047W	610	431	15	37.6035
YJL043W	775	596	1	1.81287
YHR079C	3349	3170	16	5.45349
YLR006C	2140	1961	21	11.5706
YPR171W	1732	1553	12	8.3488
YML063W	769	590	1697.61	3108.86
YHL029C	2041	1862	16	9.28441
YLR178C	661	482	24	53.7995
YJL090C	2296	2117	8	4.08304
YOR184W	1189	1010	192	205.397
YDR372C	1039	860	62	77.8946
YBR008C	1648	1469	2	1.47103
YMR203W	1165	986	329	360.523
YIR008C	1231	1052	21	21.5684
YBL024W	2056	1877	167	96.1316
YDR317W	1246	1067	8	8.10102
YJL038C	661	482	0	0
YJL087C	2485	2306	29	13.5879
YDR043C	697	518	37	77.1767
YHR028C	2458	2279	70	33.187
YOR340C	982	803	77	103.607
YCL044C	1255	1076	25	25.1039
YFR022W	2203	2024	3	1.60149
YEL072W	697	518	5	10.4293
YIR010W	1732	1553	9	6.2616
YBL008W	2524	2345	23	10.5974
YMR178W	826	647	32	53.4392
YHR017W	1159	980	19	20.948
YMR095C	676	497	0	0
YKR101W	1966	1787	6	3.62778
YHR198C	967	788	16	21.9385
YOR076C	2245	2066	21	10.9825
YNL219C	1669	1490	63	45.6844
YGL015C	394	215	0	0
